Time,Mu_MinusDNP,Mu_PlusDNP,lambda_MinusDNP,lambda_PlusDNP,lambdahy21_MinusDNP,lambdahy21_PlusDNP,lambdadeltaLC_MinusDNP,lambdadeltaLC_PlusDNP
0,0.212,0.22,0.234,0.26,0.21,0.218,0.214,0.212
10,0.308,0.297,0.374,0.385,0.345,0.332,0.332,0.329
20,0.429,0.435,0.421,0.443,0.379,0.388,0.383,0.381
30,0.581,0.578,0.514,0.516,0.457,0.448,0.46,0.434
35,0.59,0.6,0.533,0.115,0.481,0.432,0.478,0.485
38,0.339,0.49,0.561,0.016,0.498,0.057,0.506,0.478
42,0.062,0.3,0.528,0.017,0.511,0.017,0.53,0.47
45,0.023,0.24,0.329,0.038,0.419,0.013,0.571,0.475
48,0.027,0.206,0.122,0.036,0.237,0.017,0.574,0.483
52,0.023,0.18,0.031,0.027,0.092,0.03,0.595,0.484
60,0.042,0.091,0.038,0.074,0.023,0.031,0.648,0.493
70,0.048,0.055,0.036,0.038,0.042,0.05,0.724,0.491
80,0.078,0.074,0.047,0.071,0.043,0.04,0.769,0.511
